339;N;A;UL ;CNAD  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
339;N;A;UL ;PEBE  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
339;N;A;UL ;BELO  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
339;N;A;UL ;VALU  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
339;N;A;UL ;SPVL  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
339;N;A;UL ;PECY  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
342;N;B;UL ;BULD  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
342;N;B;UL ;BDAD  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
342;N;C;UL ;CNAD  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
342;N;C;UL ;CONT  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
342;N;C;UL ;PEBE  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
342;N;C;UL ;BELO  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
342;N;C;UL ;VALU  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
342;N;C;UL ;SPVL  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
342;N;C;UL ;PECY  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
342;N;A;UL ;CONT  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
342;N;A;UL ;CNAD  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
342;N;A;UL ;BULD  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
342;N;A;UL ;BDAD  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
342;N;A;UL ;PEBE  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
342;N;A;UL ;BELO  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
342;N;A;UL ;VALU  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
342;N;A;UL ;SPVL  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
342;N;A;UL ;PECY  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
343;N;B;UL ;BDAD  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
343;N;B;UL ;BULD  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
343;N;C;UL ;CNAD  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
343;N;C;UL ;CONT  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
343;N;C;UL ;PEBE  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
343;N;C;UL ;BELO  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
343;N;C;UL ;VALU  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
343;N;C;UL ;SPVL  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
343;N;C;UL ;PECY  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
343;N;A;UL ;BULD  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
343;N;A;UL ;BDAD  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
343;N;A;UL ;CNAD  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
343;N;A;UL ;CONT  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
343;N;A;UL ;PEBE  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
343;N;A;UL ;BELO  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
343;N;A;UL ;VALU  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
343;N;A;UL ;SPVL  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
343;N;A;UL ;PECY  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
344;N;B;25K;BDAD  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
344;N;B;25K;BULD  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
344;N;C;25K;CONT  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
344;N;C;25K;CNAD  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
344;N;C;25K;PEBE  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
344;N;C;25K;BELO  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
344;N;C;25K;VALU  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
344;N;C;25K;SPVL  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
344;N;C;25K;PECY  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
344;N;A;25K;CONT  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
344;N;A;25K;CNAD  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
344;N;A;25K;BULD  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
344;N;A;25K;BDAD  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
344;N;A;25K;PEBE  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
344;N;A;25K;BELO  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
344;N;A;25K;VALU  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
344;N;A;25K;SPVL  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
344;N;A;25K;PECY  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
345;N;B;25K;BULD  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
345;N;B;25K;BDAD  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
345;N;C;25K;CNAD  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
345;N;C;25K;CONT  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
345;N;C;25K;PEBE  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
345;N;C;25K;BELO  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
345;N;C;25K;VALU  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
345;N;C;25K;SPVL  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
345;N;C;25K;PECY  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
345;N;A;25K;CNAD  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
345;N;A;25K;CONT  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
345;N;A;25K;BULD  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
345;N;A;25K;BDAD  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
345;N;A;25K;PEBE  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
345;N;A;25K;BELO  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
345;N;A;25K;PECY  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
345;N;A;25K;SPVL  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
345;N;A;25K;VALU  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
346;N;B;25K;BDAD  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
346;N;B;25K;BULD  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
346;N;C;25K;CNAD  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
346;N;C;25K;CONT  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
346;N;C;25K;PEBE  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
346;N;C;25K;BELO  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
346;N;C;25K;VALU  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
346;N;C;25K;SPVL  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
346;N;C;25K;PECY  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
346;N;A;25K;CNAD  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
346;N;A;25K;CONT  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
346;N;A;25K;BULD  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
346;N;A;25K;BDAD  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
346;N;A;25K;PEBE  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
346;N;A;25K;BELO  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
346;N;A;25K;SPVL  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
346;N;A;25K;VALU  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
346;N;A;25K;PECY  ;2016-01-01;9999-12-31;N;29.84;TABLE02                                            
339;N;B;UL ;BDAD  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
339;N;B;UL ;BULD  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
339;N;C;UL ;CNAD  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
